iter	Passed	Remaining
1444	56708	61025
1445	56755	60994
1446	56807	60968
1447	56855	60938
1448	56898	60903
1449	56943	60871
1450	56991	60840
1451	57034	60805
1452	57078	60771
1453	57123	60737
1454	57168	60705
1455	57214	60672
1456	57255	60635
1457	57293	60594
1458	57333	60556
1459	57374	60518
1460	57416	60481
1461	57458	60445
1462	57495	60403
1463	57541	60371
1464	57587	60338
1465	57630	60303
1466	57674	60268
1467	57728	60244
1468	57775	60213
1469	57818	60178
1470	57867	60148
1471	57917	60120
1472	57959	60083
1473	57999	60045
1474	58041	60008
1475	58084	59973
1476	58129	59939
1477	58168	59900
1478	58209	59862
1479	58256	59830
1480	58292	59788
1481	58338	59755
1482	58381	59719
1483	58427	59687
1484	58468	59649
1485	58514	59616
1486	58558	59581
1487	58596	59541
1488	58642	59508
1489	58686	59473
1490	58723	59431
1491	58765	59395
1492	58811	59363
1493	58856	59328
1494	58894	59288
1495	58935	59251
1496	58972	59208
1497	59020	59177
1498	59061	59140
1499	59098	59098
1500	59136	59057
1501	59176	59018
1502	59217	58980
1503	59260	58944
1504	59305	58911
1505	59346	58873
1506	59392	58840
1507	59432	58801
1508	59476	58767
1509	59517	58729
1510	59558	58691
1511	59599	58653
1512	59643	58618
1513	59684	58580
1514	59739	58556
1515	59782	58520
1516	59831	58490
1517	59880	58460
1518	59927	58428
1519	59968	58390
1520	60021	58363
1521	60063	58326
1522	60110	58294
1523	60157	58262
1524	60205	58231
1525	60252	58199
1526	60297	58165
1527	60347	58135
1528	60402	58111
1529	60448	58077
1530	60494	58044
1531	60537	58008
1532	60582	57974
1533	60624	57937
1534	60667	57901
1535	60709	57863
1536	60745	57820
1537	60788	57784
1538	60835	57751
1539	60883	57720
1540	60938	57695
1541	60989	57666
1542	61032	57630
1543	61079	57597
1544	61117	57557
1545	61165	57525
1546	61206	57487
1547	61247	57449
1548	61286	57408
1549	61326	57370
1550	61373	57337
1551	61413	57298
1552	61459	57264
1553	61506	57232
1554	61551	57197
1555	61593	57160
1556	61636	57124
1557	61677	57085
1558	61713	57042
1559	61756	57005
1560	61794	56964
1561	61838	56929
1562	61884	56895
1563	61927	56858
1564	61972	56824
1565	62021	56793
1566	62064	56757
1567	62110	56723
1568	62152	56685
1569	62193	56647
1570	62235	56609
1571	62278	56574
